Número de Registro,NIT Productor SDV,Nombre Comercial,Nombre Técnico,Partida Arancelaria,Fecha de Aprobacion,Fecha de Vencimiento
202103110076495,800164351,NECTAR DE GUANABANA CON ADICION DE HIERRO MARCAS FUNKY,NECTAR DE GUANABANA ULTRAPASTEURIZADO CON ADICION DE HIERRO,2202990000,03/18/2021 04:25:38 PM,03/18/2022 12:00:00 AM
202103110076496,800164351,NECTAR DE GUANABANA FUNKY LA VITTA 200 ML,NECTAR DE GUANABANA ULTRAPASTEURIZADO,2202990000,03/18/2021 04:23:17 PM,03/18/2022 12:00:00 AM
202103110076497,800164351,NECTAR DE LULO CON ADICION DE HIERRO MARCA FUNKY,NECTAR DE LULO ULTRAPASTEURIZADO CON ADICION DE HIERRO,2202990000,03/18/2021 04:21:25 PM,03/18/2022 12:00:00 AM
202103110076498,800164351,NECTAR DE DURAZNO CON ADICION DE HIERRO MARCAS  FUNKY,NECTAR DE DURAZNO  ULTRAPASTEURIZADO CON ADICION DE HIERRO,2202990000,03/18/2021 04:19:21 PM,03/18/2022 12:00:00 AM
202103110076499,800164351,NECTAR DE DURAZNO MARCAS  FUNKY,NECTAR DE DURAZNO  ULTRAPASTEURIZADO,2202990000,03/18/2021 04:17:23 PM,03/18/2022 12:00:00 AM
202103110076501,800164351,NECTAR DE MANDARINA CON ADICION DE HIERRO MARCAS  FUNKY,NECTAR DE MANDARINA ULTRAPASTEURIZADO CON ADICION DE HIERRO,2202990000,03/18/2021 04:01:11 PM,03/18/2022 12:00:00 AM
202103110076502,800164351,NECTAR DE MANGO CON ADICION DE HIERRO MARCAS FUNKY,NECTAR DE MANGO CON ADICION DE HIERRO ULTRAPASTEURIZADO,2202990000,03/18/2021 03:47:30 PM,03/18/2022 12:00:00 AM
202103110076503,800164351,NECTAR DE MANZANA  CON ADICION DE HIERRO MARCAS FUNKY,NECTAR DE MANZANA ULTRAPASTEURIZADO CON ADICION DE HIERRO,2202990000,03/18/2021 03:43:28 PM,03/18/2022 12:00:00 AM
202103110076505,800164351,NECTAR DE MARACUYA MARCAS FUNKY,NECTAR DE MARACUYA ULTRAPASTEURIZADO,2202990000,03/18/2021 03:41:12 PM,03/18/2022 12:00:00 AM
202103110076506,800164351,NECTAR DE PERA CON ADICION DE HIERRO MARCAS FUNKY,NECTAR DE PERA ULTRAPASTEURIZADO CON ADICION DE HIERRO,2202990000,03/18/2021 03:38:40 PM,03/18/2022 12:00:00 AM
202103110076509,800164351,NECTAR DE PERA MARCAS FUNKY,NECTAR DE PERA ULTRAPASTEURIZADO,2202990000,03/18/2021 03:36:02 PM,03/18/2022 12:00:00 AM
202103110076511,800164351,NECTAR DE PIÑA MARCAS FUNKY,NECTAR DE PIÑA ULTRAPASTEURIZADO,2202990000,03/18/2021 03:33:29 PM,03/18/2022 12:00:00 AM
202103110076514,800164351,NECTAR DE FRESA CON ADICION DE HIERRO MARCAS FUNKY,NECTAR DE FRESA ULTRAPASTEURIZADO CON ADICION DE HIERRO,2202990000,03/18/2021 03:29:50 PM,03/18/2022 12:00:00 AM
202103120076138,890316233,PLUMILLA DE 13 A 22,PLUMILLA LIMPIAPARABRISAS,8512901000,04/05/2021 08:07:56 PM,04/05/2022 12:00:00 AM
202103120076603,817000865,Perfil Drywall de acero galvanizado aleado en forma de Canales en varias medidas (41x25,Perfil para la construcción liviana,7228700000,03/18/2021 07:57:43 PM,03/18/2022 12:00:00 AM
202103130076599,900127437,PLANTA DE TRATAMIENTO DE LODOS,PLANTA DE TRATAMIENTO Y DISPOSICIÓN DE LODOS CON CAPACIDAD DE 600 BFPD,8421219000,03/17/2021 11:11:14 AM,03/17/2022 12:00:00 AM
202103130076622,830037140,BASTON TIPO TONFA,BASTON TIPO TONFA,6602000000,03/16/2021 10:40:38 PM,03/16/2022 12:00:00 AM
202103130076624,830037140,PORTATONFA,PORTATONFA,4202999000,03/16/2021 10:34:20 PM,03/16/2022 12:00:00 AM
202103130076626,900370262,FORRO PARA KEPIS,FORRO PARA KEPIS EN TEJIDO PLANO 100% POLIESTER RECUBIERTO DE POLIURETANO,6507000000,03/16/2021 10:25:11 PM,03/16/2022 12:00:00 AM
202103130076635,900370262,polaina tipo leguis,polaina tipo leguis media caña fabricada en cuero charolado,6406909000,03/16/2021 10:37:19 PM,03/16/2022 12:00:00 AM
202103130076636,900370262,MORRAL DE ASALTO,MORRAL DE ASALTO FABRICADO EN TELA TEJIDO PLANO 100% NYLON,4202920010,03/16/2021 10:18:42 PM,03/16/2022 12:00:00 AM
202103140076660,901049062,CALZADO DEPORTIVO TIPO BOTA TENIS,CALZADO DEPORTIVO TIPO BOTA TENIS,6404112000,03/23/2021 02:09:16 PM,03/23/2022 12:00:00 AM
202103150076485,901118625,CAMISETA POLO PARA DAMA,CAMISETA POLO PARA DAMA EN TEJIDO DE PUNTO 100% ALGODON,6109100000,03/16/2021 04:29:41 PM,03/16/2022 12:00:00 AM
202103150076492,901118625,TRAJE SASTRE FORMAL PARA DAMA,TRAJE SASTRE PARA DAMA COMPUESTO POR CHAQUETA Y PANTALON EN TEJIDO PLANO 94% POLIESTER 6% SPANDEX,6204130000,03/16/2021 03:04:25 PM,03/16/2022 12:00:00 AM
202103150076534,901118625,CAMISA FORMAL PARA HOMBRE,CAMISA FORMAL HOMBRE EN TEJIDO PLANO 75% ALGODON Y 25% POLIESTER,6205300000,03/16/2021 03:01:03 PM,03/16/2022 12:00:00 AM
202103150076586,860515812,AMORTIGUADOR PARA VEHICULOS AUTOMOTORES,AMORTIGUADOR PLATO ASIENTO,8708802010,03/17/2021 09:51:53 AM,03/17/2022 12:00:00 AM
202103150076650,900503116,Bastón tipo tonfa,Bastón tipo tonfa en polipropileno 100%,6602000000,03/16/2021 11:56:00 PM,03/16/2022 12:00:00 AM
202103150076653,900503116,Portatonfa,Porta tonfa en poliamida reforzado al impacto,4202999000,03/16/2021 11:52:18 PM,03/16/2022 12:00:00 AM
202103150076667,900117399,CINTURON EN CUERO PARA HOMBRE,CINTURON EN CUERO PARA HOMBRE,4203300000,03/16/2021 11:59:56 PM,03/16/2022 12:00:00 AM
202103150076680,830119276,JUEGO DE CAMA,JUEGOS DE CAMA(SABANA,6302320000,03/30/2021 12:00:00 AM,03/30/2022 12:00:00 AM
202103150076681,830119276,JUEGO DE CAMA.,JUEGOS DE CAMA(SABANA,6302310000,04/28/2021 12:00:00 AM,04/28/2022 12:00:00 AM
202103150076683,830119276,CONJUNTO FEMENINO,CONJUNTO FEMENINO DE DOS PIEZAS,6204230000,05/05/2021 12:00:00 AM,05/05/2022 12:00:00 AM
202103150076684,830119276,CALCETIN PARA USO CON ZAPATO,CALCETIN PARA USO CON ZAPATO,6115960000,03/18/2021 09:05:40 AM,03/18/2022 12:00:00 AM
202103150076685,830119276,BOTA TERMICA,BOTA TERMICA,6403919000,03/18/2021 11:35:21 AM,03/18/2022 12:00:00 AM
202103150076686,830119276,PIJAMA TERMICA,PIJAMA TÉRMICA 90% POLIESTER 10% ELASTANO,6107220000,04/04/2021 12:00:00 AM,04/04/2022 12:00:00 AM
202103150076688,830119276,CALZADO DE CALLE PARA DAMA,CALZADO DE CALLE EN CUERO BOVINO,6403999000,03/17/2021 12:00:00 AM,03/17/2022 12:00:00 AM
202103150076689,830119276,CALZADO DE CALLE PARA HOMBRE,CALZADO DE CALLE EN CUERO BOVINO,6403999000,04/19/2021 12:00:00 AM,04/19/2022 12:00:00 AM
202103150076707,900568704,PANTALÓN DRIL PARA HOMBRE EN TEJIDO PLANO RIPSTOP 65% POLIÉSTER 35% ALGODÓN,PANTALÓN DRIL PARA HOMBRE EN TEJIDO PLANO RIPSTOP 65% POLIÉSTER 35% ALGODÓN,6104690000,03/16/2021 06:55:15 PM,03/16/2022 12:00:00 AM
202103160076587,860515812,AMORTIGUADOR PARA VEHICULOS AUTOMOTORES,AMORTIGUADOR MACPHERSON CARTUCHO,8708802010,03/17/2021 10:05:15 AM,03/17/2022 12:00:00 AM
202103160076604,817000865,Perfil Drywall de acero galvanizado aleado en forma de Paral en varias medidas (41x31,Perfil para la construcción liviana,7228700000,03/18/2021 07:55:21 PM,03/18/2022 12:00:00 AM
202103160076605,817000865,Perfil Drywall de acero galvanizado Aleado en forma de Omega en varias medidas (60x19,Perfil para la construcción liviana,7228700000,03/18/2021 07:53:22 PM,03/18/2022 12:00:00 AM
202103160076606,817000865,Perfil Drywall de acero galvanizado aleado en forma de Viguetas en varias medidas (40x17x15 y 36x17x15)  (Varios espesores superior igual a 0.35 mm e inferior o igual a 1.00 mm),Perfil para la construcción liviana,7228700000,03/18/2021 07:50:54 PM,03/18/2022 12:00:00 AM
202103160076607,817000865,Perfil Drywall de acero galvanizado aleado en forma de Angulo en varias medidas (20x20,Perfil para la construcción liviana,7228700000,03/18/2021 07:48:06 PM,03/18/2022 12:00:00 AM
202103160076695,860013771,BASE MEDIA TORTA NEGRA DOMO CRISTAL,BASE MEDIA TORTA NEGRA DOMO CRISTAL,3923109000,03/17/2021 08:50:18 AM,03/17/2022 12:00:00 AM
202103160076731,900568704,CAMISA HOMBRE MANGA LARGA Y CORTA EN TEJIDO RIP-STOP,CAMISA HOMBRE MANGA LARGA Y CORTA EN TEJIDO RIP-STOP COMPOSICIÓN 35% ALGODON Y 65% POLIESTER,6205300000,03/16/2021 06:53:07 PM,03/16/2022 12:00:00 AM
202103160076734,900050616,PANTALON BREECHE FEMENINO NTMD-0347,PANTALON BREECHE FEMENINO  100% POLIESTER NTMD-0347,6204630000,03/16/2021 04:40:30 PM,03/16/2022 12:00:00 AM
202103160076735,900050616,PANTALON BREECHE MASCULINO NTMD-0348,PANTALON BREECHE MASCULINO 100% POLIESTER NTMD-0348,6203430000,03/16/2021 04:38:41 PM,03/16/2022 12:00:00 AM
202103160076737,800011987,OCTG: CASING CON COSTURA,TUBOS DE ENTUBACION O REVESTIMIENTO CASING CON COSTURA EN GRADOS H40 J55 K55 N80 L80 P110 Y EN DIAMETROS ENTRE 4 1/2 A 9 5/8 PULGADAS,7306290000,03/18/2021 07:43:22 PM,03/18/2022 12:00:00 AM
202103160076742,890301886,CAJA COMPACTADORA DE BASURA DE 16 YD3 CON TODOS LOS ACCESORIOS PARA SU NORMAL FUNCIONAMIENTO,CAJA COMPACTADORA DE BASURA  MODELO F-16 YD3,8479899000,03/18/2021 07:38:33 PM,03/18/2022 12:00:00 AM
202103160076750,860001615,Llanta Reencauchada,Reencauche en Frio,4012190000,03/18/2021 02:52:09 PM,03/18/2022 12:00:00 AM
202103160076754,860066674,ARCHIVADOR METALICO,ARCHIVADORES,9403200000,03/17/2021 08:46:44 AM,03/17/2022 12:00:00 AM
202103160076756,860038196,BUSETA NON PLUS ULTRA  9-170 CON A/A,BUSETA 9-170 - CATEGORÍA  2A,8702109000,03/18/2021 07:21:02 PM,03/18/2022 12:00:00 AM
202103160076757,800011987,OCTG: TUBING SIN COSTURA,TUBOS SIN COSTURA DE PRODUCCION EN GRADOS J55 K55,7304290000,03/18/2021 07:13:42 PM,03/18/2022 12:00:00 AM
202103160076761,817000865,Perfil Drywall de acero galvanizado sin alear en forma de Canales en varias medidas (41x25,Perfil para la construcción liviana,7216610000,03/18/2021 08:14:52 PM,03/18/2022 12:00:00 AM
202103160076768,800011987,TUBERIA DE CONDUCCION LINE PIPE A,TUBOS DE CONDUCCION DEL TIPO DE LOS UTILIZADOS EN OLEODUCTOS Y GASODUCTOS EN DIAMETROS ENTRE 2 3/8 Y 8 5/8 EN GRADOS A,7306190000,03/18/2021 07:05:26 PM,03/18/2022 12:00:00 AM
202103170076300,900719304,CINTURON MULTIPROPOSITO,CINTURON EN TEJIDO 100% NYLON TIPO REATA DE 55MM DE GROSOR CON REATA INTERNA  EN TEJIDO 100% NYLON TIPO REATA DE 38MM DE GROSOR,6217100000,03/17/2021 10:00:39 AM,03/17/2022 12:00:00 AM
202103170076643,860047163,CETRIDAL,JABON ANTISEPTICO,3401300000,03/18/2021 06:18:37 PM,03/18/2022 12:00:00 AM
202103170076770,890900082,BOTES DE RECREO,LOS DEMAS BOTES DE RECREO ESLORA HASTA 45 PIES,8903999000,03/18/2021 08:27:24 AM,12/31/2021 12:00:00 AM
202103170076771,900370262,CHALECO ANTIBALAS NIVEL IIIA,CHALECO ANTIBALAS NIVEL IIIA ELABORADO EN TEJIDO PLANO 100% POLIESTER CON PANEL BALISTICO EN TELA 100% ARAMIDA LAMINADA TEJIDO PLANO,6307909000,03/18/2021 10:07:44 AM,03/18/2022 12:00:00 AM
202103170076772,900575690,CHALECO MULTIPROPOSITO FABRICADO EN TELA TEJIDO PLANO NYLON 100%,CHALECO MULTIPROPOSITO FABRICADO EN TELA TEJIDO PLANO NYLON 100%,6307909000,03/18/2021 10:04:09 AM,03/18/2022 12:00:00 AM
202103170076777,51790591,EQUIPO DE PARADA PARA PERSONAL MILITAR,MORRAL TIPO EQUIPO DE PARADA PARA PERSONAL MILITAR,4202920090,03/18/2021 11:48:47 AM,03/18/2022 12:00:00 AM
202103170076784,810002278,CAUCHO DESCANSAPIE TRASERO FD115,CAUCHO DESCANSAPIE FD115,4016992900,03/23/2021 02:27:52 PM,03/23/2022 12:00:00 AM
202103170076785,890900121,LADRILLOS REFRACTARIOS,LADRILLOS REFRACTARIOS,6902209000,03/18/2021 12:33:19 PM,03/18/2022 12:00:00 AM
202103170076787,810002278,CAUCHO APOYAPIE DELANTERO AX/FD115,CAUCHO APOYAPIE DELANTERO AX/FD115,4016992900,03/23/2021 02:22:46 PM,03/23/2022 12:00:00 AM
202103170076788,860047163,QUIRUCIDAL JABON,SOLUCION TOPICA JABON ANTISEPTICO,3401300000,03/18/2021 06:06:49 PM,03/18/2022 12:00:00 AM
202103170076791,860047163,QUIRUCIDAL SOLUCION,SOLUCION ANTISEPTICA Y TOPICA,3808941900,03/18/2021 05:58:08 PM,03/18/2022 12:00:00 AM
202103170076797,860047163,DERMOCIDAL,SOLUCION ANTISEPTICA,3808941900,03/18/2021 05:44:40 PM,03/18/2022 12:00:00 AM
202103170076800,860047163,BACCIDINE,SOLUCION ANTISEPTICA,3808941900,03/18/2021 03:17:02 PM,03/18/2022 12:00:00 AM
202103170076802,860047163,BACCIDINE SACHET,SOLUCION ANTISEPTICA,3808941900,03/18/2021 03:13:01 PM,03/18/2022 12:00:00 AM
202103170076803,860047163,DERMOCIDAL SACHET,SOLUCION ANTISEPTICA,3808941900,03/18/2021 03:08:35 PM,03/18/2022 12:00:00 AM
202103170076808,901022072,SUDADERA MASCULINA  EN POLIESTER 100%,SUDADERA MASCULINA (CONJUNTO DE CHQUETA Y PANTALON EN POLIESTER 100%),6211330000,03/18/2021 09:59:14 AM,03/18/2022 12:00:00 AM
202103170076809,901022072,SUDADERA FEMENINA  EN POLIESTER 100%,SUDADERA FEMENINA (COMPUESTA DE CHAQUETA Y PANTALON 100% POLIESTER),6211430000,03/18/2021 09:55:25 AM,03/18/2022 12:00:00 AM
202103170076811,901022072,CAMISETA TIPO POLO MASCULINA  100% POLIESTER,CAMISETA TIPO POLO MASCULINA EN TEJIDO DE PUNTO 100% POLIESTER,6105209000,03/18/2021 09:53:16 AM,03/18/2022 12:00:00 AM
202103170076812,901022072,PANTALON TIPO BREECHE HOMBRE,PANTALON BREACH MASCULINO 65% POLIESTER 35% ALGODON EN TEJIDO PLANO,6203430000,03/18/2021 09:50:12 AM,03/18/2022 12:00:00 AM
202103170076813,901022072,PAÑOLETA TIPO BUFANDA (TEJIDO PLANO 100% POLIESTER),PAÑOLETA TIPO BUFANDA (TEJIDO PLANO 100% POLIESTER),6214300000,03/18/2021 09:45:25 AM,03/18/2022 12:00:00 AM
202103170076814,901022072,PANTALON TIPO BREECHE DAMA,PANTALON TIPO BREECHE DAMA 65% POLIESTER Y ALGODON  35% TEJIDO PLANO,6204630000,03/18/2021 09:42:46 AM,03/18/2022 12:00:00 AM
202103170076816,901022072,UNIFORME DE FATIGA MASCULINO COMPUESTO POR PANTALON Y CAMISA TEJIDO PLANO 100% POLIESTER,UNIFORME DE FATIGA MASCULINO COMPUESTO POR PANTALON Y CAMISA TEJIDO PLANO 100% POLIESTER,6203230000,03/18/2021 09:40:37 AM,03/18/2022 12:00:00 AM
202103170076817,901022072,CONJUNTO MASCULINO ANTIFRICCION,CONJUNTO MASCULINO ANTIFRICCION PARA MOTOCICLISTA,6210400000,03/18/2021 09:37:51 AM,03/18/2022 12:00:00 AM
202103170076820,817000865,Perfil Drywall de acero galvanizado sin alear en forma de Paral en varias medidas (41x31,Perfil para la construcción liviana,7216610000,03/18/2021 08:12:19 PM,03/18/2022 12:00:00 AM
202103170076826,901022072,CINTURON MULTIPROPOSITO,CINTURON MULTIPROPOSITO 100% NYLON CON CHAPA PALSTICA,6217100000,03/18/2021 09:35:39 AM,03/18/2022 12:00:00 AM
202103170076828,79414353,CINTURON MULTIPROPOSITO,CINTURON MULTIPROPOSITO POLIAMIDA 100%,6217100000,03/18/2021 09:10:15 AM,03/18/2022 12:00:00 AM
202103170076829,817000865,Perfil Drywall de acero galvanizado sin alear en forma de Omega en varias medidas (60x19,Perfil para la construcción liviana,7216610000,03/18/2021 08:10:11 PM,03/18/2022 12:00:00 AM
202103170076831,817000865,Perfil Drywall de acero galvanizado sin alear en forma de Viguetas en varias medidas (40x17x15 y 36x17x15)  (Varios espesores superior igual a 0.35 mm e inferior o igual a 1.00 mm),Perfil para la construcción liviana,7216610000,03/18/2021 08:08:06 PM,03/18/2022 12:00:00 AM
202103180076821,900041345,Calcomanía Label Tire Information FW110,Calcomanía Label Tire Information FW110,4908909000,03/19/2021 08:27:44 AM,03/19/2022 12:00:00 AM
202103180076856,832000402,INSTALACIONES ELECTRICAS DE BAJA PARA VEHICULOS TIPO AUTOMOVIL,INSTALACIONES ELECTRICAS DE BAJA PARA VEHICULOS TIPO AUTOMOVIL,8544300000,03/19/2021 04:33:45 PM,03/19/2022 12:00:00 AM
202103180076857,860009034,BOTA PANTANERA CAÑA ALTA CON PUNTERA METALICA,BOTA PANTANERA CAÑA ALTA CON PUNTERA METALICA,6401100000,03/18/2021 02:58:20 PM,03/18/2022 12:00:00 AM
202103180076858,900041345,Calcomania Pos Consumo Bateria,Calcomania Pos Consumo Bateria,4908909000,03/18/2021 03:34:52 PM,03/18/2022 12:00:00 AM
202103180076860,900041345,Calcomanía Label Tire Information GN125,Calcomanía Label Tire Information GN125,4908909000,03/19/2021 08:21:48 AM,03/19/2022 12:00:00 AM
202103180076861,901118625,CAMISETA TIPO POLO PARA HOMBRE,CAMISETA TIPO POLO PARA HOMBRE EN TEJIDO PLANO 100% ALGODON,6105100000,03/19/2021 12:09:53 PM,03/19/2022 12:00:00 AM
202103180076862,901118625,TRAJE FORMAL PARA HOMBRE,TRAJE FORMAL PARA HOMBRE COMPUESTO POR CHAQUETA Y PANTALON EN TEJIDO PLANO 85% POLIESTER 15% VISCOSA,6203120000,03/18/2021 05:50:42 PM,03/18/2022 12:00:00 AM
202103180076863,901118625,PANTALON PARA HOMBRE,PANTALON PARA HOMBRE EN TEJIDO PLANO 85% POLIESTER 15% VISCOSA,6203430000,03/18/2021 05:48:44 PM,03/18/2022 12:00:00 AM
202103180076864,901118625,PANTALON JEAN DAMA,PANTALON DE DAMA TEJIDO PLANO MEZCLILLA Y/O (DENIM),6203421000,03/18/2021 05:45:33 PM,03/18/2022 12:00:00 AM
202103180076866,901049062,CALZADO DEPORTIVO TIPO BOTA TENIS,CALZADO DEPORTIVO TIPO BOTA TENIS,6404112000,03/18/2021 02:49:31 PM,03/18/2022 12:00:00 AM
202103180076868,900041345,Emblema Suzuki Blanco 68mm FW110,Emblema Suzuki Blanco 68mm FW110,4908909000,03/19/2021 08:16:05 AM,03/19/2022 12:00:00 AM
202103180076869,900041345,Calcomanía Label Battery FW110 (VIVAR-D/SC),Calcomanía Label Battery FW110 (VIVAR-D/SC),4908909000,03/19/2021 08:09:40 AM,03/19/2022 12:00:00 AM
202103190076786,890900121,AISLADOR ELECTRICO DE CERAMICA,AISLADOR ELECTRICO DE CERAMICA,8546200000,03/23/2021 08:31:31 AM,03/23/2022 12:00:00 AM
202103190076827,900041345,Calcomanía Bisel RH DF3,Calcomanía Bisel RH DF3,4908909000,03/25/2021 10:39:22 AM,03/25/2022 12:00:00 AM
202103190076832,900041345,Calcomanía Bisel LH DF3,Calcomanía Bisel LH DF3,4908909000,03/25/2021 10:34:24 AM,03/25/2022 12:00:00 AM
202103190076833,900041345,Calcomanía Tapa Lateral LH KK3 GSX125,Calcomanía Tapa Lateral LH KK3 GSX125,4908909000,03/25/2021 10:29:09 AM,03/25/2022 12:00:00 AM
